Nama_Ruas,Kecamatan,Panjang,Lebar,Kondisi,15 April,15,16 April,16,17 April,17,18 April,18,19 April,19,20 April,20,21 April,21,22 April,22,23 April,23,24 April,24,25 April,25,26 April,26,27 April,27,28 April,28,29 April,29
Jl. Sidodadi Timur,semarang timur,279 M,5 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Karimata,semarang timur,530 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Purwosari,semarang timur,"1,092 M",6 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Musi,semarang timur,360 M,4 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit
Jl. Taman Progo,semarang timur,79 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Pondok Pati,semarang timur,243 M,8 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,4 Menit,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit
Jl. Pattimura,semarang timur,321 M,15 M,Sedang,lancar,2 Menit,lancar,3 Menit,lancar,3 Menit,lancar,2 Menit,lancar,3 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit
Jl. Citandui 3,semarang timur,230 M,3 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Citandui,semarang timur,536 M,4 M,Baik,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit
Jl. Rejo Leksono 1,semarang timur,240 M,3 M,Sedang,lancar,6 Menit,sedang,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Indragiri,semarang timur,"1,703 M",3 M,Sedang,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Hawa,semarang timur,495 M,4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Krakatau,semarang timur,467 M,4 M,Baik,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Labuan,semarang timur,468 M,4 M,Sedang,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Cilosari,semarang timur,"1,083 M",3 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Raden Patah,semarang timur,237 M,15 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Kartini,semarang timur,"1,863 M",8 M,Baik,lancar,7 Menit,,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Citandui 4,semarang timur,151 M,3 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Bugangan Regol,semarang timur,376 M,5 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Dorang,semarang utara,610 M,5 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Kakap,semarang utara,846 M,4 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Lodan,semarang utara,"2,084 M",4 M,Rusak Ringan,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Mujahir,semarang utara,206 M,4 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Brotojoyo Utara,semarang utara,"1,029 M",3 M,Rusak Ringan,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Taman Hasanudin,semarang utara,593 M,5 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Brotojoyo,semarang utara,"1,099 M",6 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit,sedang,12 Menit
Jl. Kalimas Barat,semarang utara,619 M,7 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Tanjungmas,semarang utara,"1,622 M",10 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Telaga Mas,semarang utara,301 M,6 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Peres,semarang utara,501 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Selo Mas,semarang utara,356 M,5 M,Sedang,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Sumber Mas,semarang utara,541 M,4 M,Sedang,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,sedang,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit
Jl. Tanggul Mas,semarang utara,481 M,5 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Muara Mas,semarang utara,623 M,5 M,Sedang,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Brotojoyo 5,semarang utara,282 M,4 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit
Jl. Kuala Mas,semarang utara,597 M,4 M,Baik,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Brotojoyo 2,semarang utara,"1,046 M",5 M,Sedang,lancar,7 Menit,sedang,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,8 Menit
Jl. Gondomono,semarang utara,555 M,6 M,Baik,lancar,6 Menit,sedang,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Petek,semarang utara,791 M,5 M,Baik,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Cumi-Cumi,semarang utara,801 M,3 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Hassanudin,semarang utara,"2,027 M",6 M,Baik,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Yos Sudarso Kalibaru Barat,semarang utara,"1,171 M",20 M,Sedang,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,lancar,8 Menit,macet,12 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Pasir Mas,semarang utara,628 M,5 M,Sedang,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,3 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,sedang,10 Menit,sedang,10 Menit
Jl. Tambra,semarang utara,292 M,5 M,Baik,lancar,3 Menit,lancar,4 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Tambak Mas,semarang utara,369 M,4 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,9 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Patriot,semarang utara,319 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit
Jl. Hassanudin Rusunawa,semarang utara,526 M,4 M,Rusak Ringan,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,4 Menit
Jl. Satria Utara,semarang utara,463 M,5 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,sedang,10 Menit,sedang,12 Menit,lancar,10 Menit,lancar,10 Menit,sedang,10 Menit
Jl. Brotojoyo Timur,semarang utara,165 M,6 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit
Jl. Empu Tantular,semarang utara,"1,347 M",10 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Tawang 1,semarang utara,547 M,10 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Bandarharjo,semarang utara,444 M,8 M,Sedang,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Tambakrejo Makam,semarang utara,"1,421 M",3 M,Rusak Ringan,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Branjangan,semarang utara,271 M,4 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Taman Garuda,semarang utara,203 M,4 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Kedasih,semarang utara,279 M,7 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,macet,12 Menit,macet,12 Menit,macet,12 Menit,lancar,8 Menit,macet,12 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Kapten Wiratno,semarang utara,880 M,4 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Ronggowarsito 2,semarang utara,350 M,3 M,Sedang,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,macet,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit,lancar,1 Menit
Jl. Kebonharjo,semarang utara,"1,110 M",4 M,Baik,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,macet,10 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit,lancar,2 Menit
Jl. Kuala Mas 2,semarang utara,99 M,5 M,Sedang,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit
Jl. Tambakrejo Tanggul,semarang utara,"1,453 M",3 M,Rusak Berat,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Ronggowarsito,semarang utara,"1,664 M",8 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit
Jl. Sleko,semarang utara,694 M,4 M,Sedang,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,6 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Tambakmulyo Tanjungmas,semarang utara,859 M,5 M,Baik,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,10 Menit,lancar,10 Menit,macet,11 Menit,macet,11 Menit,lancar,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sendowo Barat,semarang utara,219 M,8 M,Sedang,sedang,8 Menit,sedang,9 Menit,sedang,8 Menit,sedang,8 Menit,sedang,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Nuri,semarang utara,148 M,5 M,Sedang,lancar,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,sedang,9 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,3 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Sendowo Timur,semarang utara,311 M,7 M,Baik,lancar,8 Menit,sedang,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Garuda,semarang utara,158 M,4 M,Baik,lancar,9 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Poncol,semarang utara,133 M,4 M,Sedang,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Merak,semarang utara,580 M,12 M,Sedang,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,10 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit,lancar,5 Menit
Jl. Boom Lama Tanggul 2,semarang utara,"1,101 M",4 M,Sedang,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Boom Lama,semarang utara,973 M,6 M,Baik,lancar,8 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit
Jl. Kali Baru,semarang utara,852 M,10 M,Baik,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,8 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit,lancar,4 Menit
Jl. Layur,semarang utara,430 M,4 M,Sedang,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Layur 1,semarang utara,202 M,4 M,Rusak Ringan,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,9 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit
Jl. Rejosari,tembalang,709 M,3 M,Baik,lancar,7 Menit,lancar,8 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,7 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,6 Menit,lancar,20 Menit,lancar,20 Menit,lancar,20 Menit,lancar,20 Menit,lancar,20 Menit
